user_input,retrieved_contexts,response,reference,faithfulness,answer_relevancy,context_precision,context_recall
What caused Calvin Jr.'s death?,"['He died suddenly of a heart attack at his home in Northampton, ""The Beeches,"" at 12:45 p.m., January 5 1933. Greenberg, 154â\x80\x93155  Shortly before his death, Coolidge confided to an old friend: ""I feel I am no longer fit in these times."" Sobel, 410\n\nCoolidge\'s father, John Calvin Coolidge, Sr.\n\nCalvin and Grace Coolidge, about 1918.']",heart attack.,heart attack,,,,
Was John Calvin Coolidge Jr. was born in Las Vegas?,"[""Coolidge's father, John Calvin Coolidge, Sr.\n\nJohn Calvin Coolidge Jr. was born in Plymouth, Windsor County, Vermont, on July 4 1872, the only U.S. President to be born on the fourth of July. He was the elder of two children of John Calvin Sr. and Victoria Coolidge. The Coolidge family had deep roots in New England. His earliest American ancestor, John Coolidge, emigrated from Cambridge, England, around 1630 and settled in Watertown, Massachusetts. Fuess, 12  Coolidge's great-great-grandfather, also named John Coolidge, was an American army officer in the American Revolution, and was one of the first selectmen of the town of Plymouth Notch. Fuess, 7  Most of Coolidge's ancestors were farmers. The more well-known Coolidges, such as architect Charles Allerton Coolidge, and diplomat Archibald Cary Coolidge, were descended from other branches of the family that had stayed in Massachusetts.  Coolidge's grandmother Sarah Almeda Brewer had two famous first cousins: Arthur Brown, a United States Senator, and Olympia Brown, a women's suffragist.\n\nCalvin Coolidge as a young legislator""]",not enough information,No,,,,
Was Coolidge opposed in the Republican nomination for Governor of MassachuS08_setts in 1918?,"[""Coolidge was unopposed for the Republican nomination for Governor of Massachusetts in 1918. He and his running mate, Channing Cox, a Boston lawyer and Speaker of the Massachusetts House of Representatives, ran on the previous administration's record: fiscal conservatism, a vague opposition to Prohibition, support for women's suffrage, and support for American involvement in the First World War. Sobel, 111; McCall, 75â\x80\x9376  The issue of the war proved divisive, especially among Irish- and German-Americans. Sobel, 112  Coolidge was elected by a margin of 16,773 votes over his opponent, Richard H. Long, in the smallest margin of victory of any of his state-wide campaigns. Sobel, 115; McCall, 76\n\nAt the 1920 Republican Convention most of the delegates were selected by state party conventions, not primaries. As such, the field was divided among many local favorites. Sobel, 152â\x80\x93153  Coolidge was one such candidate, and while he placed as high as sixth in the voting, the powerful party bosses never considered him a serious candidate. After ten ballots, the delegates settled on Senator Warren G. Harding of Ohio as their nominee for President. Fuess, 259â\x80\x93260  When the time came to select a Vice Presidential nominee, the party bosses had also made a decision on who they would nominate: Senator Irvine Lenroot of Wisconsin. Fuess, 261  A delegate from Oregon, Wallace McCamant, having read Have Faith in Massachusetts, proposed Coolidge for Vice President instead.  The suggestion caught on quickly, and Coolidge found himself unexpectedly nominated. Fuess, 262â\x80\x93264\n\nCalvin Coolidge as a young legislator""]",unopposed,Yes,,,,
Did Coolidge meet and marry Grace Anna Goodhue?,"['In 1905 Coolidge met and married Grace Anna Goodhue, a local schoolteacher and fellow Vermonter. They were opposites in personality: she was talkative and fun-loving, while Coolidge was quiet and serious. Greenberg, 58â\x80\x9359  Not long after their marriage, Coolidge handed her a bag with fifty-two pairs of socks in it, all of them full of holes. Grace\'s reply was ""Did you marry me to darn your socks?"" Without cracking a smile and with his usual seriousness, Calvin answered, ""No, but I find it mighty handy."" Telleen, Maurice.  The Days Before Yesterday: 75 years ago. The Draft Horse Journal, Autumn, 2001. Retrieved from Internet Archive on May 18, 2007.  They had two sons; John Coolidge, born in 1906, and Calvin Jr., born in 1908. White, 65â\x80\x9366  The marriage was, by most accounts, a happy one. Fuess, 89â\x80\x9392; Sobel, 57â\x80\x9358. Some biographers disagree with this rosy portrait, see Ferrell, 21â\x80\x9323  As Coolidge wrote in his Autobiography, ""We thought we were made for each other. For almost a quarter of a century she has borne with my infirmities, and I have rejoiced in her graces."" Autobiography, 93\n\nPresident Harding and Vice President Coolidge and their wives.\n\nOn August 22, 1848, Grant married Julia Boggs Dent (1826 1902), the daughter of a slave owner. They had four children: Frederick Dent Grant, Ulysses S. Grant, Jr. (Buck), Ellen Wrenshall Grant (Nellie), and Jesse Root Grant.']",Yes.,Yes,,,,
What year did Coolidge open his own law office?,"[""Coolidge with his Vice President, Charles G. Dawes.\n\nCalvin Coolidge as a young legislator\n\nAfter graduating from Amherst, at his father's urging, Coolidge moved to Northampton, Massachusetts to take up the practice of law. Avoiding the costly alternative of attending a law school, Coolidge followed the more common practice at the time of apprenticing with a local firm, Hammond & Field. John C. Hammond and Henry P. Field, both Amherst graduates themselves, introduced Coolidge to the law practice in the county seat of Hampshire County. In 1897, Coolidge was admitted to the bar. With his savings and a small inheritance from his grandfather, Coolidge was able to open his own law office in Northampton in 1898, where he practiced transactional law, believing that he served his clients best by staying out of court. As his reputation as a hard-working and diligent attorney grew, local banks and other businesses began to retain his services. Fuess, 74â\x80\x9381; McCoy 22â\x80\x9326""]",1898.,1898,,,,
What fraternity was Coolidge a member of?,"['Coolidge graduated from Black River Academy, Vermont, but failed his initial entrance exam to Amherst College.  Vermont Historical Society biography of Calvin Coolidge accessed December 6 2007  He spent one term at St. Johnsbury Academy, Vermont before entering Amherst.  Accomplished alumni. Amherst College, where he was a member of the Fraternity of Phi Gamma Delta. Retrieved on May 18, 2007  He dropped John from his name upon graduating from college. At Amherst, Coolidge became a member of the Fraternity of Phi Gamma Delta and joined the College Republicans in 1892. White, 35  While there, Coolidge met Dwight Morrow, who would become a life-long friend. Sobel, 36  Coolidge would later credit Charles E. Garman, a professor of philosophy and ethics, with having a significant influence on his education. Autobiography, 63â\x80\x9370  He graduated cum laude in 1895. Sobel, 41  At graduation, Coolidge was selected by his classmates to compose and read the Grove Oration, a humorous speech traditionally given during the graduation ceremony.\n\nCoolidge as an Amherst undergraduate\n\n* Wilson was a member of the Phi Kappa Psi fraternity.']",Fraternity of Phi Gamma Delta.,Phi Gamma Delta,,,,
In 1905 Coolidge met and married whom?,"['In 1905 Coolidge met and married Grace Anna Goodhue, a local schoolteacher and fellow Vermonter. They were opposites in personality: she was talkative and fun-loving, while Coolidge was quiet and serious. Greenberg, 58â\x80\x9359  Not long after their marriage, Coolidge handed her a bag with fifty-two pairs of socks in it, all of them full of holes. Grace\'s reply was ""Did you marry me to darn your socks?"" Without cracking a smile and with his usual seriousness, Calvin answered, ""No, but I find it mighty handy."" Telleen, Maurice.  The Days Before Yesterday: 75 years ago. The Draft Horse Journal, Autumn, 2001. Retrieved from Internet Archive on May 18, 2007.  They had two sons; John Coolidge, born in 1906, and Calvin Jr., born in 1908. White, 65â\x80\x9366  The marriage was, by most accounts, a happy one. Fuess, 89â\x80\x9392; Sobel, 57â\x80\x9358. Some biographers disagree with this rosy portrait, see Ferrell, 21â\x80\x9323  As Coolidge wrote in his Autobiography, ""We thought we were made for each other. For almost a quarter of a century she has borne with my infirmities, and I have rejoiced in her graces."" Autobiography, 93\n\nPresident Harding and Vice President Coolidge and their wives.\n\nCoolidge\'s father, John Calvin Coolidge, Sr.']",Grace Anna Goodhue,Grace Anna Goodhue,,,,
Why did Coolidge not attend law school?,"['Calvin Coolidge as a young legislator\n\nCoolidge as an Amherst undergraduate\n\nCoolidge graduated from Black River Academy, Vermont, but failed his initial entrance exam to Amherst College.  Vermont Historical Society biography of Calvin Coolidge accessed December 6 2007  He spent one term at St. Johnsbury Academy, Vermont before entering Amherst.  Accomplished alumni. Amherst College, where he was a member of the Fraternity of Phi Gamma Delta. Retrieved on May 18, 2007  He dropped John from his name upon graduating from college. At Amherst, Coolidge became a member of the Fraternity of Phi Gamma Delta and joined the College Republicans in 1892. White, 35  While there, Coolidge met Dwight Morrow, who would become a life-long friend. Sobel, 36  Coolidge would later credit Charles E. Garman, a professor of philosophy and ethics, with having a significant influence on his education. Autobiography, 63â\x80\x9370  He graduated cum laude in 1895. Sobel, 41  At graduation, Coolidge was selected by his classmates to compose and read the Grove Oration, a humorous speech traditionally given during the graduation ceremony.']",failed his initial entrance exam.,It was too expensive,,,,
Have there been other US presidents that have visited Cuba?,"[""Coolidge continued the previous administration's policy not to recognize the Soviet Union. McCoy, 181  He also continued the United States' support for the elected government of Mexico against the rebels there, lifting the arms embargo on that country. McCoy, 178â\x80\x93179  He sent his close friend Dwight Morrow to Mexico as the American ambassador. Sobel, 349  Coolidge represented the U.S. at the Pan American Conference in Havana, Cuba, making him the only sitting U.S. President to visit the country. The United States' occupation of Nicaragua and Haiti continued under his administration, but Coolidge withdrew American troops from the Dominican Republic in 1924. Fuess, 414â\x80\x93417; Ferrell, 122â\x80\x93123\n\n#In 1906, he made the first trip, by a President, outside the United States, visiting Panama to inspect the construction progress of the Panama Canal on November 9.\n\nBetween 1914 and 1918, the United States intervened in Latin America, particularly in Mexico, Haiti, Cuba, and Panama. The U.S. maintained troops in Nicaragua throughout his administration and used them to select the president of Nicaragua and then to force Nicaragua to pass the Bryan-Chamorro Treaty. American troops in Haiti forced the Haitian legislature to choose the candidate Wilson selected as Haitian president. American troops occupied Haiti between 1915 and 1934.""]",not enough information,No,,,,
What years were Coolidge's two sons born in?,"[""Coolidge's father, John Calvin Coolidge, Sr.\n\nJohn Calvin Coolidge Jr. was born in Plymouth, Windsor County, Vermont, on July 4 1872, the only U.S. President to be born on the fourth of July. He was the elder of two children of John Calvin Sr. and Victoria Coolidge. The Coolidge family had deep roots in New England. His earliest American ancestor, John Coolidge, emigrated from Cambridge, England, around 1630 and settled in Watertown, Massachusetts. Fuess, 12  Coolidge's great-great-grandfather, also named John Coolidge, was an American army officer in the American Revolution, and was one of the first selectmen of the town of Plymouth Notch. Fuess, 7  Most of Coolidge's ancestors were farmers. The more well-known Coolidges, such as architect Charles Allerton Coolidge, and diplomat Archibald Cary Coolidge, were descended from other branches of the family that had stayed in Massachusetts.  Coolidge's grandmother Sarah Almeda Brewer had two famous first cousins: Arthur Brown, a United States Senator, and Olympia Brown, a women's suffragist.\n\nCalvin and Grace Coolidge, about 1918.""]",1872.,1906 and 1908,,,,
Did France cede nearly all of its colonies in Europe in 1763?,"[""The lands have been inhabited for millennia by aboriginal peoples. Beginning in the late 15th century, British and French expeditions explored and later settled the Atlantic coast. France ceded nearly all of its colonies in North America in 1763 after the Seven Years War.\n\nFrench explorer Samuel de Champlain arrived in 1603 and established the first permanent European settlements at Port Royal in 1605 and Quebec City in 1608. These would become respectively the capitals of Acadia and Canada. Among French colonists of New France, Canadiens extensively settled the St. Lawrence River valley, Acadians settled the present-day Maritimes, while French fur traders and Catholic missionaries explored the Great Lakes, Hudson Bay and the Mississippi watershed to Louisiana. The French and Iroquois Wars broke out over control of the fur trade.\n\nThe English established fishing outposts in Newfoundland around 1610 and colonized the Thirteen Colonies to the south. A series of four Intercolonial Wars erupted between 1689 and 1763. Mainland Nova Scotia came under British rule with the Treaty of Utrecht (1713); the Treaty of Paris (1763) ceded Canada and most of New France to Britain following the Seven Years' War.""]",no.,Yes.,,,,
Is Canada a member of the OECD?,"[""Canada joined the Organization of American States (OAS) in 1990; Canada hosted the OAS General Assembly in Windsor in June 2000 and the third Summit of the Americas in Quebec City in April 2001. Canada seeks to expand its ties to Pacific Rim economies through membership in the Asia-Pacific Economic Cooperation forum (APEC).\n\nCanada is one of the world's wealthiest nations with a high per capita income, a member of the Organisation for Economic Co-operation and Development (OECD) and Group of Eight (G8).  Canada is a free market economy with slightly more government intervention than the United States, but much less than most European nations.    Canada has traditionally had a lower per capita gross domestic product (GDP) than its southern neighbour (whereas wealth has been more equally divided), but higher than the large western European economies      . Since the early 1990's, the Canadian economy has been growing rapidly with low unemployment and large government surpluses on the federal level. Today Canada closely resembles the US in its market-oriented economic system, pattern of production, and high living standards.  While as of October 2007, Canada's national unemployment rate of 5.9% is its lowest in 33 years. Provincial unemployment rates vary from a low of 3.6% in Alberta to a high of 14.6% in Newfoundland and Labrador.\n\n      Canada joined the United Nations in 1945 and became a founding member of NATO in 1949. During the Cold War, Canada was a major contributor to UN forces in the Korean War, and founded the North American Aerospace Defense Command (NORAD) in cooperation with the United States to defend against aerial attacks from the Soviet Union.""]",yes.,Yes.,,,,
Is Canada's official language Zulu?,"[""Canada's two official languages are  English and French. Official Bilingualism in Canada is law, defined in the Canadian Charter of Rights and Freedoms, the Official Languages Act, and Official Language Regulations; it is applied by the Commissioner of Official Languages. English and French have equal status in federal courts, Parliament, and in all federal institutions. The public has the right, where there is sufficient demand, to receive federal government services in either English or French, and official language minorities are guaranteed their own schools in all provinces and territories.\n\nNon-official languages are important in Canada, with 5,202,245 people listing one as a first language.  Some significant non-official first languages include Chinese (853,745 first-language speakers), Italian (469,485), German (438,080), and Punjabi (271,220).\n\nAlthough 85% of French-speaking Canadians live in Quebec, there are substantial Francophone populations in Ontario, Alberta and southern Manitoba, with an Acadian population in the northern and southeastern parts of New Brunswick constituting 35% of that province's population as well as concentrations in Southwestern Nova Scotia and on Cape Breton Island. Ontario has the largest French-speaking population outside Quebec. The Charter of the French Language in Quebec makes French the official language in Quebec, and New Brunswick is the only province to have a statement of official bilingualism in the constitution.    Other provinces   have no official language(s) as such, but French is used as a language of instruction, in courts, and other government services in addition to English. Manitoba, Ontario and Quebec allow for both English and French to be spoken in the provincial legislatures, and laws are enacted in both languages. In Ontario, French has some legal status but is not fully co-official. Several aboriginal languages have official status in Northwest Territories. Inuktitut is the majority language in Nunavut, and one of three official languages in the territory.""]",not enough information,No.,,,,
What is one significant non-official language?,"['Non-official languages are important in Canada, with 5,202,245 people listing one as a first language.  Some significant non-official first languages include Chinese (853,745 first-language speakers), Italian (469,485), German (438,080), and Punjabi (271,220).\n\nCanada\'s two official languages are  English and French. Official Bilingualism in Canada is law, defined in the Canadian Charter of Rights and Freedoms, the Official Languages Act, and Official Language Regulations; it is applied by the Commissioner of Official Languages. English and French have equal status in federal courts, Parliament, and in all federal institutions. The public has the right, where there is sufficient demand, to receive federal government services in either English or French, and official language minorities are guaranteed their own schools in all provinces and territories.\n\nThe national language of Singapore is Malay for historical reasons, and it is used in the national anthem, ""Majulah Singapura"". The official languages are English, Mandarin, Malay and Tamil. English has been promoted as the country\'s language of administration since independence. The English used is primarily based on British English, with some American English influences.  The use of English became widespread in Singapore after it was implemented as a first language medium in the education system, and English is the most common language in Singaporean literature.  Public signs and official publications are in English, although there are translated versions in other official languages. However, the majority of the population speak a localised hybrid form of English known as Singlish (""Singapore English""), which has many creole-like characteristics, incorporating vocabulary and grammar from Standard English, various Chinese dialects, Malay and Indian languages. The government has consistently tried to discourage the use of Singlish in its ""Speak Good English"" campaigns.']",Chinese,Chinese.,,,,
"In addition to Port Royal, where else did Samuel de Champlain establish a S08_settlement?","[""French explorer Samuel de Champlain arrived in 1603 and established the first permanent European settlements at Port Royal in 1605 and Quebec City in 1608. These would become respectively the capitals of Acadia and Canada. Among French colonists of New France, Canadiens extensively settled the St. Lawrence River valley, Acadians settled the present-day Maritimes, while French fur traders and Catholic missionaries explored the Great Lakes, Hudson Bay and the Mississippi watershed to Louisiana. The French and Iroquois Wars broke out over control of the fur trade.\n\nThe English established fishing outposts in Newfoundland around 1610 and colonized the Thirteen Colonies to the south. A series of four Intercolonial Wars erupted between 1689 and 1763. Mainland Nova Scotia came under British rule with the Treaty of Utrecht (1713); the Treaty of Paris (1763) ceded Canada and most of New France to Britain following the Seven Years' War.\n\nThe Royal Proclamation (1763) carved the Province of Quebec out of New France and annexed Cape Breton Island to Nova Scotia. It also restricted the language and religious rights of French Canadians. In 1769, St. John's Island (now Prince Edward Island) became a separate colony. To avert conflict in Quebec, the Quebec Act of 1774 expanded Quebec's territory to the Great Lakes and Ohio Valley, and re-established the French language, Catholic faith, and French civil law in Quebec; it angered many residents of the Thirteen Colonies, helping to fuel the American Revolution.    The Treaty of Paris (1783) recognized American independence and ceded territories south of the Great Lakes to the United States. Approximately 50,000 United Empire Loyalists fled the United States to Canada.    New Brunswick was split from Nova Scotia as part of a reorganization of Loyalist settlements in the Maritimes. To accommodate English-speaking Loyalists in Quebec, the Constitutional Act of 1791 divided the province into French-speaking Lower Canada and English-speaking Upper Canada, granting each their own elected Legislative Assembly.""]",Quebec City,Quebec City,,,,
What was the Consitution Act formerly called?,"['* Vetoed Volstead Act in 1919. It was passed over his veto.\n\nThe Resumption of Species Act of 1875 which was signed by Grant and helped to end the crisis in 1879 when the law came in to effect\n\nIn July 1862, Congress moved to free the slaves by passing the Second Confiscation Act. The goal was to weaken the rebellion, which was led and controlled by slave owners. While it did not abolish the legal institution of slavery (the Thirteenth Amendment did that), the Act showed that Lincoln had the support of Congress in liberating slaves owned by rebels. This new law was implemented with Lincoln\'s ""Emancipation Proclamation.""']",Volstead Act.,The British North America Act.,,,,
Which countries established colonies in Canada?,"['Following several constitutional conferences, the British North America Act brought about Confederation creating ""one Dominion under the name of Canada"" on July 1, 1867 with four provinces: Ontario, Quebec, Nova Scotia, and New Brunswick.     Canada assumed control of Rupert\'s Land and the North-Western Territory to form the Northwest Territories, where MÃ©tis\' grievances ignited the Red River Rebellion and the creation of the province of Manitoba in July 1870. British Columbia and Vancouver Island (which had united in 1866) and the colony of Prince Edward Island joined Confederation in 1871 and 1873, respectively.\n\nThe English established fishing outposts in Newfoundland around 1610 and colonized the Thirteen Colonies to the south. A series of four Intercolonial Wars erupted between 1689 and 1763. Mainland Nova Scotia came under British rule with the Treaty of Utrecht (1713); the Treaty of Paris (1763) ceded Canada and most of New France to Britain following the Seven Years\' War.\n\nIn 1867, with the union of three British North American colonies through Confederation, Canada was formed as a federal, semi-autonomous polity.           This began an accretion of additional provinces and territories and a process of increasing autonomy from the United Kingdom, highlighted by the Statute of Westminster in 1931 and culminating in the Canada Act in 1982 which severed the vestiges of legal dependence on the British parliament.']",British North America,France and Britain.,,,,
How has Canada helped UN peacekeeping efforts?,"['Canada has played a leading role in UN peacekeeping efforts. During the Suez Crisis of 1956, Lester B. Pearson eased tensions by proposing the inception of the United Nations Peacekeeping Force.      Canada has since served in 50 peacekeeping missions, including every UN peacekeeping effort until 1989    \n\n      Canada joined the United Nations in 1945 and became a founding member of NATO in 1949. During the Cold War, Canada was a major contributor to UN forces in the Korean War, and founded the North American Aerospace Defense Command (NORAD) in cooperation with the United States to defend against aerial attacks from the Soviet Union.\n\nStrong attachment to the British Empire and Commonwealth in English Canada led to major participation in British military efforts in the Second Boer War, the First World War, and the Second World War. Since then, Canada has been an advocate for multilateralism, making efforts to resolve global issues in collaboration with other nations. ']",Canada has played a leading role in UN peacekeeping efforts.,"During the Suez Crisis of 1956, Lester B. Pearson eased tensions by proposing the inception of the United Nations Peacekeeping Force. Canada has since served in 50 peacekeeping missions, including every UN peacekeeping effort until 1989",,,,
What percentage of the population don't speak English or French at home?,"[""English and French are the mother tongues of 59.7% and 23.2% of the population respectively,    and the languages most spoken at home by 68.3% and 22.3% of the population respectively.    98.5% of Canadians speak English or French (English only: 67.5%, French only: 13.3%, both: 17.7%).    English and French Official Language Communities, defined by First Official Language Spoken, constitute 73.0% and 23.6% of the population.\n\nThe official language of Romania is Romanian, an Eastern Romance language related to Italian, French, Spanish, Portuguese and Catalan. Romanian is spoken as a first language by 91% of the population, with Hungarian and Romani being the most important minority languages, spoken by 6.7% and 1.1% of the population, respectively.  Until the 1990s, there was also a substantial number of German-speaking Transylvanian Saxons, even though many have since emigrated to Germany, leaving only 45,000 native German speakers in Romania. In localities where a given ethnic minority makes up more than 20% of the population, that minority's language can be used in the public administration and justice system, while native-language education and signage is also provided. English and French are the main foreign languages taught in schools. English is spoken by 5 million Romanians, French is spoken by 4-5 million, and German, Italian and Spanish are each spoken by 1-2 million people.   Outsourcing IT Ã®n RomÃ¢nia, Owners Association of the Software and Service Industry, retrieved November 13 2005  Historically, French was the predominant foreign language spoken in Romania, even though English has since superseded it. Consequently, Romanian English-speakers tend to be younger than Romanian French-speakers. Romania is, however, a full member of La Francophonie, and hosted the Francophonie Summit in 2006.   Chronology of the International Organization La Francophonie  German has been taught predominantly in Transylvania, due to traditions tracing back to the Austro-Hungarian rule in this province.\n\nNon-official languages are important in Canada, with 5,202,245 people listing one as a first language.  Some significant non-official first languages include Chinese (853,745 first-language speakers), Italian (469,485), German (438,080), and Punjabi (271,220).""]",not enough information.,28%,,,,
Is Canada bilingual?,"[""Canada's two official languages are  English and French. Official Bilingualism in Canada is law, defined in the Canadian Charter of Rights and Freedoms, the Official Languages Act, and Official Language Regulations; it is applied by the Commissioner of Official Languages. English and French have equal status in federal courts, Parliament, and in all federal institutions. The public has the right, where there is sufficient demand, to receive federal government services in either English or French, and official language minorities are guaranteed their own schools in all provinces and territories.\n\nAlthough 85% of French-speaking Canadians live in Quebec, there are substantial Francophone populations in Ontario, Alberta and southern Manitoba, with an Acadian population in the northern and southeastern parts of New Brunswick constituting 35% of that province's population as well as concentrations in Southwestern Nova Scotia and on Cape Breton Island. Ontario has the largest French-speaking population outside Quebec. The Charter of the French Language in Quebec makes French the official language in Quebec, and New Brunswick is the only province to have a statement of official bilingualism in the constitution.    Other provinces   have no official language(s) as such, but French is used as a language of instruction, in courts, and other government services in addition to English. Manitoba, Ontario and Quebec allow for both English and French to be spoken in the provincial legislatures, and laws are enacted in both languages. In Ontario, French has some legal status but is not fully co-official. Several aboriginal languages have official status in Northwest Territories. Inuktitut is the majority language in Nunavut, and one of three official languages in the territory.\n\nA federation now comprising ten provinces and three territories, Canada is a parliamentary democracy and a constitutional monarchy with Queen Elizabeth II as its head of state. It is a bilingual and multicultural country, with both English and French as official languages at the federal level. Technologically advanced and industrialized, Canada maintains a diversified economy that is heavily reliant upon its abundant natural resources and upon tradeâ\x80\x94particularly with the United States, with which Canada has had a long and complex relationship.""]",Canada's two official languages are English and French.,Yes.,,,,
Did Canadian soldiers win the Battle of Vimy Ridge in 1917?,"[""Canadian soldiers would win the Battle of Vimy Ridge in 1917.\n\nCanadian soldiers in Afghanistan.\n\nThe Death of General Wolfe on the Plains of Abraham at Quebec in 1759, part of the Seven Years' War.""]",yes.,Yes,,,,
Is an official language of Canada German?,"[""Canada's two official languages are  English and French. Official Bilingualism in Canada is law, defined in the Canadian Charter of Rights and Freedoms, the Official Languages Act, and Official Language Regulations; it is applied by the Commissioner of Official Languages. English and French have equal status in federal courts, Parliament, and in all federal institutions. The public has the right, where there is sufficient demand, to receive federal government services in either English or French, and official language minorities are guaranteed their own schools in all provinces and territories.\n\nAlthough 85% of French-speaking Canadians live in Quebec, there are substantial Francophone populations in Ontario, Alberta and southern Manitoba, with an Acadian population in the northern and southeastern parts of New Brunswick constituting 35% of that province's population as well as concentrations in Southwestern Nova Scotia and on Cape Breton Island. Ontario has the largest French-speaking population outside Quebec. The Charter of the French Language in Quebec makes French the official language in Quebec, and New Brunswick is the only province to have a statement of official bilingualism in the constitution.    Other provinces   have no official language(s) as such, but French is used as a language of instruction, in courts, and other government services in addition to English. Manitoba, Ontario and Quebec allow for both English and French to be spoken in the provincial legislatures, and laws are enacted in both languages. In Ontario, French has some legal status but is not fully co-official. Several aboriginal languages have official status in Northwest Territories. Inuktitut is the majority language in Nunavut, and one of three official languages in the territory.\n\nNon-official languages are important in Canada, with 5,202,245 people listing one as a first language.  Some significant non-official first languages include Chinese (853,745 first-language speakers), Italian (469,485), German (438,080), and Punjabi (271,220).""]",German.,No.,,,,
How many provinces and territories does Canada have?,"['Canada is a federation composed of ten provinces and three territories; in turn, these may be grouped into numerous regions. Western Canada consists of British Columbia and three Prairie provinces (Alberta, Saskatchewan, Manitoba). Eastern Canada consists of Central Canada (Quebec and Ontario) and Atlantic Canada (comprised of the three Maritime provinces of New Brunswick, Prince Edward Island, and Nova Scotia; and Newfoundland and Labrador).  Three territories (Yukon, Northwest Territories, and Nunavut) comprise Northern Canada. Provinces have a large degree of autonomy from the federal government,  territories somewhat less. Each has its own provincial or territorial symbols.\n\n;Provinces and territories\n\nA geopolitical map of Canada, exhibiting its ten provinces and three territories.']",ten provinces.,A federation now comprising ten provinces and three territories,,,,
What is Canada's national unemployment rate?,"[""Canada is one of the world's wealthiest nations with a high per capita income, a member of the Organisation for Economic Co-operation and Development (OECD) and Group of Eight (G8).  Canada is a free market economy with slightly more government intervention than the United States, but much less than most European nations.    Canada has traditionally had a lower per capita gross domestic product (GDP) than its southern neighbour (whereas wealth has been more equally divided), but higher than the large western European economies      . Since the early 1990's, the Canadian economy has been growing rapidly with low unemployment and large government surpluses on the federal level. Today Canada closely resembles the US in its market-oriented economic system, pattern of production, and high living standards.  While as of October 2007, Canada's national unemployment rate of 5.9% is its lowest in 33 years. Provincial unemployment rates vary from a low of 3.6% in Alberta to a high of 14.6% in Newfoundland and Labrador.\n\nCanada is highly dependent on international trade, especially trade with the United States. The 1989 Canada-US Free Trade Agreement (FTA) and 1994 North American Free Trade Agreement (NAFTA) (which included Mexico) touched off a dramatic increase in trade and economic integration with the US Since 2001, Canada has successfully avoided economic recession and has maintained the best overall economic performance in the G8.    Since the mid 1990s, Canada's federal government has posted annual budgetary surpluses and has steadily paid down the national debt.\n\nThe per capita GDP in 2006 was US$29,474.    As of September 2007, the unemployment rate is 1.7 percent, which is the lowest in a decade, having improved to around pre-Asian crisis level.    Employment continued to grow strongly as the economy maintained its rapid expansion. In the first three quarters of 2007, 171,500 new jobs were created, which is close to the 176,000 for the whole of 2006. ""]",5.9%.,"While as of October 2007, Canada's national unemployment rate of 5.9% is its lowest in 33 years. Provincial unemployment rates vary from a low of 3.6% in Alberta to a high of 14.6% in Newfoundland and Labrador. ",,,,
Where is the most densely populated part of Canada?,"[""The population density,  , is among the lowest in the world.    The most densely populated part of the country is the Quebec City-Windsor Corridor along the Great Lakes and Saint Lawrence River in the southeast.   \n\nTo the north of this region is the broad Canadian Shield, an area of rock scoured clean by the last ice age, thinly soiled, rich in minerals, and dotted with lakes and rivers.  Canada by far has more lakes than any other country and has a large amount of the world's freshwater.\n\nCanada's 2006 census counted 31,612,897, an increase of 5.4% since 2001.    Population growth is from immigration and, to a lesser extent, natural growth. About three-quarters of Canada's population lives within 150 kilometres (90 mi) of the US border.    A similar proportion live in urban areas concentrated in the Quebec City-Windsor Corridor (notably: the Greater Golden Horseshoe anchored around Toronto, Montreal, Ottawa, and their environs), the BC Lower Mainland (Vancouver and environs), and the Calgary-Edmonton Corridor in Alberta.""]",along the Great Lakes and Saint Lawrence River in the southeast.,The most densely populated part of the country is the Quebec City-Windsor Corridor along the Great Lakes and Saint Lawrence River in the southeast.,,,,
What is the largest country in the world?,"[""At  ,  World Factbook area rank order  Egypt is the world's 38th-largest country (after Mauritania). It is comparable in size to Tanzania, twice the size of France, four times the size of the United Kingdom, and is more than half the size of the US state of Alaska.\n\nThe Republic of Indonesia ( ) ( ), is a nation in Southeast Asia. Comprising 17,508 islands, it is the world's largest archipelagic state. With a population of over 234 million people, it is the world's fourth most populous country and the most populous Muslim-majority nation, although officially it is not an Islamic state. Indonesia is a republic, with an elected parliament and president. The nation's capital city is Jakarta. The country shares land borders with Papua New Guinea, East Timor and Malaysia. Other neighboring countries include Singapore, the Philippines, Australia, and the Indian territory of the Andaman and Nicobar Islands.\n\nLiechtenstein is the sixth-smallest independent nation in the world, by land area. The five independent countries smaller than Liechtenstein are Vatican City, Monaco, Nauru, Tuvalu, and San Marino. See List of countries and outlying territories by total area.""]",Egypt.,"Canada is the second largest country in the world, after Russia, and largest on the continent.",,,,
